PROJECT_ID,N_FILES,N_LINES,AVG_LINES_PER_FILE,PIPELINE_INPUT_TOKENS,PIPELINE_OUTPUT_TOKENS,AGENT_INPUT_TOKENS,AGENT_OUTPUT_TOKENS,PIPELINE_COST_USD,AGENT_COST_USD
p1_2_2022,3,242,81,20054,676,88239,1945,"0,006","0,024"
botanidrip,33,1495,45,117564,1386,135003,4167,"0,030","0,037"
smartfeeder,26,633,70,192630,1355,171535,2836,"0,049","0,045"
hush,5,1858,372,101475,878,119618,1559,"0,026","0,031"
epamovil,106,8657,82,923450,1632,740800,5388,"0,232","0,189"
sail,43,2434,57,193293,1372,271289,3494,"0,049","0,070"
antepuerto,42,2556,61,167651,1279,419560,3931,"0,043","0,108"
gtmfrontend,4,489,122,28768,731,87359,2329,"0,008","0,024"
gtmbackend,25,1604,64,72365,696,145171,2144,"0,019","0,038"
munifrontend,51,8039,158,798256,1110,284205,2845,"0,200","0,073"
munibackend,102,5166,51,285067,784,561334,3051,"0,072","0,143"
muniapp,145,12596,87,697166,761,685567,4054,"0,175","0,174"
robotflo,2,147,74,8404,485,32079,1323,"0,002","0,009"
titulosfrontend,96,8847,92,909762,1425,453965,4530,"0,229","0,117"
titulosbackend,80,3959,49,272455,1103,379293,3683,"0,069","0,098"
